id,verifiable,label,claim
198802,VERIFIABLE,SUPPORTS,An American producer was the writer of the pilot episode of The Blacklist.
145296,VERIFIABLE,SUPPORTS,Kate Nash was dropped from her label.
93897,VERIFIABLE,SUPPORTS,Rope was released.
146614,VERIFIABLE,SUPPORTS,Jack Nicholson stars in The Shining.
157929,VERIFIABLE,SUPPORTS,Manchester City F.C. was purchased.
20150,VERIFIABLE,SUPPORTS,The Punisher is a character.
179688,VERIFIABLE,SUPPORTS,The name Minneapolis is a combination of a Dakota Sioux word for water and the Greek word for city.
95261,VERIFIABLE,SUPPORTS,Mukesh Ambani has a brother.
167809,VERIFIABLE,SUPPORTS,Jamie Foxx's time-point of birth is in the 20th century.
181519,VERIFIABLE,SUPPORTS,Bill Clinton is a politician from the United States.
49196,VERIFIABLE,SUPPORTS,There are puzzles in Resident Evil 7: Biohazard.
159863,VERIFIABLE,SUPPORTS,Casey Ryback is an action hero.
173679,VERIFIABLE,SUPPORTS,Michael Jackson was an actor.
41668,VERIFIABLE,SUPPORTS,Snoop Dogg released a soundtrack to a short film.
121048,VERIFIABLE,SUPPORTS,Kiefer Sutherland is a person who directs.
185649,VERIFIABLE,SUPPORTS,Bright Star had Ben Whishaw in it.
200205,VERIFIABLE,SUPPORTS,Dominick Dunne was a journalist.
158417,VERIFIABLE,SUPPORTS,John II of Portugal died.
126970,VERIFIABLE,SUPPORTS,Catherine Zeta-Jones won an Oscar.
109240,VERIFIABLE,SUPPORTS,Daddy Yankee's given full name is Ramón Luis Ayala Rodríguez.
65947,VERIFIABLE,SUPPORTS,In & Out is an American film.
147888,VERIFIABLE,SUPPORTS,Dwyane Wade was on a team.
191741,VERIFIABLE,SUPPORTS,One coach is Jennifer Hudson.
113539,VERIFIABLE,SUPPORTS,Lisa Lopes was a member of the R&B girl group TLC.
176403,VERIFIABLE,SUPPORTS,Sunrise created anime that won the Animage Anime Grand Prix prize.
35439,VERIFIABLE,SUPPORTS,A Thousand Suns was recorded.
50563,VERIFIABLE,SUPPORTS,"Carole King's most successful album was ""Tapestry""."
912,VERIFIABLE,SUPPORTS,"Adele sold over a million digital copies in a week with her song ""Hello."""
33734,VERIFIABLE,SUPPORTS,The Singing Detective was broadcast in the United Kingdom.
63139,VERIFIABLE,SUPPORTS,Modern Family has been aired for at least seven years.
49116,VERIFIABLE,SUPPORTS,The Wachowskis wrote The Matrix.
11840,VERIFIABLE,SUPPORTS,Tupac Shakur was killed in Las Vegas.
11790,VERIFIABLE,SUPPORTS,Apollo 11 was launched by a Saturn V rocket.
89910,VERIFIABLE,SUPPORTS,Daniel Craig attended the music and dramatic arts school the Guildhall School of Music and Drama.
9303,VERIFIABLE,SUPPORTS,Neil Patrick Harris won a Tony for Best Leading Actor in a Musical.
147186,VERIFIABLE,SUPPORTS,Ready Player One won an award.
61474,VERIFIABLE,SUPPORTS,Wild was released.
